Name,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,Position,Money_19,Money_20,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,PSR,wOBA,BABIP,OW%
강경학,135,113,12,21,27,4,0,0,1,2,3,1,15,0,3,32,3,4,25,6,27,6,내,8800,7800,0.34091,0.27434,0.61525,0.22199,0.19469,0.54945,8.07651,0.29913,11.424,0.0354,0,2.01068,0.32927,0.16759
황윤호,130,123,9,9,37,5,2,1,2,2,1,1,5,0,0,12,2,6,27,5,33,6,내,4000,5000,0.32558,0.39837,0.72396,0.24611,0.20325,0.62222,14.46329,0.53568,14.874,0.09756,1.33333,2.01374,0.32432,0.39233
최진행,129,117,19,10,27,6,0,6,0,0,0,1,9,0,2,28,3,0,26,4.333333333,38,6,외,20000,16000,0.29457,0.4359,0.73047,0.24153,0.38462,0.66667,11.19631,0.41468,15.136,0.20513,0,2.13899,0.25,0.27897
양성우,129,119,6,11,20,3,0,1,1,0,1,0,9,0,0,28,2,0,17,3.5,28,4,외,8500,7000,0.22656,0.21849,0.44505,0.15657,0.16807,0.35644,1.66477,0.06166,5.006,0.05042,1,2.03095,0.21111,0.00848
김형준,119,107,9,13,24,5,0,2,0,0,4,0,8,0,0,24,1,1,22,3,41,5,포,3200,5000,0.27826,0.3271,0.60536,0.20699,0.24299,0.5119,7.2198,0.2674,9.828,0.1028,0,2.29543,0.2716,0.13858
김회성,117,104,18,7,24,4,0,3,2,1,1,1,11,0,0,24,1,2,23,8,33,10,내,6500,6500,0.30172,0.35577,0.65749,0.22472,0.30769,0.60976,9.02482,0.33425,12.128,0.125,2.4,2.3008,0.26923,0.20088
김민식,116,96,14,6,16,2,0,0,2,0,0,2,15,0,3,29,1,3,26,2,24,4,포,14000,8800,0.2931,0.1875,0.4806,0.17877,0.21875,0.46914,3.79002,0.14037,7.858,0.02083,0,2.2659,0.23188,0.04245
정진호,110,96,3,13,20,0,0,1,5,2,3,0,11,0,0,24,2,0,26,3.5,20,4,외,11300,11300,0.28972,0.23958,0.5293,0.19027,0.1875,0.4875,4.65214,0.1723,7.288,0.03125,1.66667,2.40646,0.26761,0.06261
지성준,109,104,11,7,26,6,0,2,0,0,0,0,5,0,0,21,3,0,19,4.833333333,31,7,포,5700,5700,0.2844,0.36538,0.64979,0.21933,0.24038,0.53086,7.55529,0.27983,9.602,0.11538,0,2.41459,0.2963,0.14979
김문호,109,103,4,6,25,7,0,0,2,0,1,1,4,0,0,30,1,1,19,2,21,2,외,8000,5000,0.26852,0.31068,0.5792,0.1985,0.19417,0.48101,5.28454,0.19572,8.54,0.06796,0,2.40291,0.33784,0.07935
나성범,106,93,14,19,34,12,1,4,2,1,0,0,12,0,1,26,2,0,23,4.333333333,25,7,외,55000,50000,0.4434,0.64516,1.08856,0.36082,0.60215,1.20968,20.23751,0.74954,22.142,0.27957,2.66667,2.64814,0.47619,0.55831
김도환,106,93,7,7,19,6,0,2,0,0,4,1,8,0,0,36,0,1,19,5,21,5,포,2700,5000,0.26471,0.33333,0.59804,0.20245,0.30108,0.52703,4.40408,0.16311,9.002,0.12903,0,2.60056,0.30357,0.05648
전민수,106,96,8,8,23,7,0,0,2,1,1,0,9,0,0,18,4,0,16,6.5,29,7,외,4000,5000,0.30476,0.3125,0.61726,0.21527,0.25,0.52564,6.28038,0.23261,7.986,0.07292,0,2.50437,0.29487,0.10853
김준태,104,88,8,10,14,3,0,0,0,0,2,0,12,0,2,23,1,2,15,4.333333333,27,6,포,4400,3800,0.27451,0.19318,0.46769,0.17182,0.20455,0.41333,2.52707,0.0936,5.286,0.03409,,2.56214,0.21538,0.01933
강진성,104,97,14,11,24,4,1,2,2,1,0,0,3,0,4,20,6,1,21,5,29,6,외,3200,3800,0.29808,0.37113,0.66921,0.22692,0.23711,0.5625,6.77232,0.25083,8.77,0.12371,2,2.52052,0.29333,0.124
구본혁,95,85,6,10,15,1,0,1,2,1,1,1,6,0,2,17,0,1,23,0.833333333,15,2,내,2700,4000,0.24468,0.22353,0.46821,0.16599,0.15294,0.40845,2.95994,0.10963,5.394,0.04706,1.33333,2.73163,0.20588,0.02633
신민재,94,81,5,25,19,3,0,0,10,8,1,1,8,0,3,17,0,0,34,3.5,19,4,내,2700,5000,0.32258,0.2716,0.59419,0.21306,0.19753,0.61429,5.35665,0.19839,7.834,0.03704,0,2.78822,0.29231,0.08136
강민국,94,88,7,12,24,0,1,0,2,0,0,0,6,0,0,17,2,9,18,5.333333333,27,7,내,2700,4000,0.31915,0.29545,0.6146,0.21748,0.125,0.51515,7.37317,0.27308,8.304,0.02273,0,2.6799,0.33803,0.14368
허도환,93,79,6,3,10,3,0,1,0,1,4,2,5,0,3,18,3,2,15,0,17,0,포,6000,6500,0.20225,0.20253,0.40478,0.14164,0.17722,0.32877,-0.77295,-0.02863,2.436,0.07595,0,2.91429,0.14516,0.00184
고승민,89,83,6,7,21,6,2,0,0,0,1,1,4,0,0,16,1,2,11,5,14,5,내,2700,3800,0.28409,0.37349,0.65758,0.22121,0.26506,0.55556,6.97521,0.25834,8.592,0.12048,,2.93444,0.30882,0.13056
김성훈,88,77,5,14,14,1,1,1,4,3,4,0,7,0,0,11,0,3,24,2.5,13,3,내,7000,7000,0.25,0.25974,0.50974,0.17744,0.22078,0.4697,3.67693,0.13618,5.242,0.07792,1.6,3.04783,0.2,0.04006
박정음,88,71,7,13,14,2,1,0,6,5,1,0,11,0,5,31,1,0,25,4.916666667,25,8,외,4500,4300,0.34483,0.25352,0.59835,0.21855,0.26761,0.63492,3.49388,0.1294,7.192,0.05634,0,3.00611,0.35,0.03631
김동한,85,78,2,9,22,4,0,0,3,2,1,0,6,0,0,15,1,2,23,1.5,12,2,내,5000,4500,0.33333,0.33333,0.66667,0.23333,0.19231,0.59322,7.23258,0.26787,8.33,0.05128,0,3.06004,0.34921,0.13901
배정대,84,74,6,15,15,4,0,0,0,2,2,0,7,0,1,23,2,1,12,4,19,5,외,3800,4800,0.28049,0.25676,0.53724,0.19041,0.17568,0.42857,1.79646,0.06654,4.306,0.05405,,3.15188,0.29412,0.00986
허정협,77,68,8,3,16,1,0,0,0,0,0,1,7,0,1,19,1,0,13,5.5,20,6,외,4000,3500,0.31169,0.25,0.56169,0.20276,0.13235,0.4717,4.09778,0.15177,6.108,0.01471,,3.30656,0.32,0.04927
이성우,74,64,6,2,10,3,0,0,0,0,3,0,4,0,3,11,2,3,14,2.5,16,3,포,7000,8000,0.23944,0.20313,0.44256,0.15853,0.15625,0.35714,1.08502,0.04019,2.472,0.04688,,3.61335,0.18868,0.00362
김인태,70,60,7,6,14,2,1,2,1,1,1,1,8,0,0,12,2,0,16,1.333333333,20,2,외,4000,5000,0.31884,0.4,0.71884,0.24348,0.38333,0.67347,6.15468,0.22795,7.874,0.16667,1.33333,3.76993,0.25532,0.10467
문상철,68,60,7,8,12,1,0,2,2,0,0,2,4,0,2,26,1,4,10,1.833333333,17,3,내,3100,4000,0.26471,0.31667,0.58137,0.19828,0.26667,0.55102,2.57166,0.09525,6.342,0.11667,2,3.78721,0.29412,0.02
송민섭,64,53,4,24,16,0,1,0,1,3,1,1,6,0,3,13,0,0,32,4,13,4,외,3300,4700,0.39683,0.33962,0.73645,0.26348,0.13208,0.7,6.65893,0.24663,7.796,0.03774,0,4.03297,0.39024,0.12038
문선재,61,49,6,7,8,0,0,3,2,1,0,2,9,0,1,18,0,2,12,0.5,7,1,외,6500,4500,0.29508,0.34694,0.64202,0.21952,0.44898,0.69048,3.87727,0.1436,7.166,0.18367,2.4,4.28041,0.16667,0.04434
유장혁,61,55,4,10,9,1,0,1,3,0,0,1,5,0,0,17,0,0,13,2,14,2,외,2700,3200,0.22951,0.23636,0.46587,0.16237,0.25455,0.45652,1.46292,0.05418,3.994,0.07273,1.5,4.17443,0.21053,0.00656
변우혁,61,53,2,7,12,1,0,1,0,0,0,0,7,0,1,17,3,1,12,2,13,3,내,2700,3000,0.32787,0.30189,0.62976,0.22301,0.24528,0.54545,3.1948,0.11833,4.944,0.07547,0,4.20885,0.31429,0.03054
공민규,60,53,6,4,13,1,0,3,0,0,0,0,6,0,1,18,0,2,13,0,15,0,내,2700,4000,0.33333,0.43396,0.7673,0.25849,0.37736,0.75,6.08322,0.2253,8.176,0.18868,0,4.33868,0.3125,0.10251
유재신,59,51,6,17,13,2,1,0,4,3,1,1,6,0,0,12,1,1,26,2.333333333,10,3,외,5700,4700,0.32759,0.33333,0.66092,0.23075,0.27451,0.64286,4.2734,0.15827,5.804,0.07843,0,4.38753,0.325,0.05336
오선우,57,53,4,5,8,1,1,1,0,0,0,0,3,0,1,24,0,0,8,1,14,2,내,2700,3000,0.21053,0.26415,0.47468,0.16077,0.22642,0.4,-0.06842,-0.00253,2.818,0.11321,0,4.45586,0.25,0.00001
송준석,56,51,4,6,12,3,0,1,0,0,1,1,2,0,1,14,3,1,10,0.333333333,16,1,외,2900,4000,0.27273,0.35294,0.62567,0.21096,0.23529,0.5,2.48235,0.09194,4.298,0.11765,0,4.65202,0.2973,0.01866
전병우,55,51,0,2,5,1,0,0,0,0,1,0,3,0,0,22,0,2,7,0,12,0,내,4000,2900,0.14815,0.11765,0.2658,0.09608,0.09804,0.19565,-3.1863,-0.11801,-0.536,0.01961,,4.6505,0.17241,0.03038
신성현,54,41,6,9,8,0,0,1,0,0,0,2,10,0,1,14,0,2,13,1.25,16,3,내,5000,4800,0.35185,0.26829,0.62014,0.22541,0.34146,0.66667,4.04568,0.14984,6.338,0.07317,0,4.76896,0.25,0.04809
김창평,53,45,3,4,8,2,0,0,0,0,3,0,4,0,1,11,1,0,7,3.333333333,16,4,내,2700,3000,0.26,0.22222,0.48222,0.17256,0.17778,0.39474,1.22603,0.04541,2.472,0.04444,,5.07642,0.23529,0.00462
백동훈,52,47,2,8,8,2,0,0,0,1,0,0,4,0,1,16,0,0,10,1,12,1,외,3400,3600,0.25,0.21277,0.46277,0.16569,0.14894,0.375,0.31415,0.01164,2.182,0.04255,,4.88117,0.25806,0.0003
백용환,51,47,6,3,11,2,0,2,0,0,0,0,3,0,1,14,0,2,8,1.833333333,13,3,포,4500,4000,0.29412,0.40426,0.69837,0.23342,0.31915,0.63889,4.17317,0.15456,5.828,0.17021,0,5.0471,0.29032,0.05101
김재현,49,42,2,29,12,2,1,0,13,6,3,0,4,0,0,11,0,0,26,1,4,1,외,5600,5600,0.34783,0.38095,0.72878,0.25176,0.42857,0.91667,4.55495,0.1687,6.092,0.09524,0,5.50215,0.3871,0.06018
이준수,49,36,3,3,7,1,0,0,0,0,3,0,9,0,1,11,1,2,11,1.5,10,2,포,3100,3800,0.36957,0.22222,0.59179,0.22186,0.30556,0.6,2.98294,0.11048,4.172,0.02778,,5.56485,0.28,0.02673
양종민,49,44,5,1,6,2,0,0,0,0,2,1,2,0,0,15,3,4,7,1,12,1,내,3000,3600,0.17021,0.18182,0.35203,0.12205,0.13636,0.2439,-2.13911,-0.07923,-0.08,0.04545,,5.35577,0.2,0.01393
백창수,48,44,3,4,10,3,0,0,0,0,2,0,0,0,2,18,1,0,7,1,6,1,외,6000,5300,0.26087,0.29545,0.55632,0.19125,0.13636,0.42857,1.00184,0.03711,2.846,0.06818,,5.50152,0.38462,0.00309
배성근,48,44,2,4,9,1,0,0,1,0,0,0,4,0,0,13,0,3,16,2,11,2,내,2700,3200,0.27083,0.22727,0.49811,0.17869,0.15909,0.42857,1.65279,0.06121,3.006,0.02273,0,5.24617,0.29032,0.00836
박준태,47,41,4,13,7,3,0,0,1,1,0,2,4,0,0,15,1,0,9,0.5,11,1,외,7000,4500,0.23404,0.2439,0.47794,0.16629,0.2439,0.41667,0.08698,0.00322,2.57,0.07317,0,5.41238,0.25,0.00002
안승한,47,44,5,4,6,1,0,0,0,0,1,0,1,0,1,13,1,2,3,1.5,18,2,포,2700,3700,0.17391,0.15909,0.333,0.11803,0.06818,0.23077,-1.46406,-0.05422,0.046,0.02273,,5.44502,0.19355,0.00657
이성규,46,43,7,3,11,2,0,2,1,1,0,0,2,0,1,16,1,3,7,1.25,10,3,내,3300,4300,0.30435,0.44186,0.74621,0.24742,0.32558,0.67647,3.44363,0.12754,5.322,0.18605,1.33333,5.58072,0.36,0.03531
장승현,46,41,3,3,7,2,0,0,0,0,0,1,3,0,1,13,0,0,9,0,6,0,포,3000,3500,0.23913,0.21951,0.45864,0.16249,0.17073,0.38235,0.66686,0.0247,2.506,0.04878,,5.50287,0.24138,0.00137
정범모,45,40,4,4,9,1,0,2,1,1,2,0,3,0,0,15,0,1,9,0.333333333,8,1,포,6800,5500,0.27907,0.4,0.67907,0.22558,0.325,0.625,2.76487,0.1024,4.65,0.175,1.33333,5.93947,0.30435,0.02305
백승민,45,42,4,4,10,1,0,0,0,0,0,1,2,0,0,12,2,1,9,3.166666667,14,5,내,3700,4500,0.26667,0.2619,0.52857,0.18548,0.09524,0.38235,1.18955,0.04406,2.554,0.02381,,5.56529,0.32258,0.00435
정현,45,38,2,3,3,0,0,0,1,1,0,1,6,0,0,17,1,0,5,1.25,12,2,내,5300,3000,0.2,0.07895,0.27895,0.10974,0.15789,0.27027,-2.36572,-0.08762,0.114,0,0,5.59802,0.13636,0.01698
이흥련,44,42,5,3,13,2,1,0,0,0,0,0,2,0,0,12,1,0,11,2,9,2,포,9000,7000,0.34091,0.40476,0.74567,0.2546,0.21429,0.63333,4.3228,0.1601,5.084,0.09524,,5.72093,0.43333,0.05453
이해창,43,40,0,0,5,0,0,0,0,0,0,0,2,0,1,11,0,1,7,1,13,1,포,6100,5500,0.18605,0.125,0.31105,0.11497,0.05,0.22857,-1.03136,-0.0382,0.282,0,,5.81109,0.17241,0.00327
국해성,41,35,2,2,6,3,0,0,0,0,0,0,5,0,1,13,3,2,8,1,9,1,외,5000,4500,0.29268,0.25714,0.54983,0.19599,0.31429,0.46875,0.35092,0.013,1.876,0.08571,,6.23885,0.27273,0.00038
김민수,41,39,2,5,8,1,0,0,0,0,0,1,1,0,0,16,0,0,4,0.5,10,1,포,3300,4300,0.21951,0.23077,0.45028,0.15647,0.07692,0.32258,0.0488,0.00181,2.012,0.02564,,6.09144,0.33333,0.00001
김민수,37,34,1,0,8,3,0,0,0,0,0,0,1,0,2,14,2,1,9,1,3,1,내,2700,3000,0.2973,0.32353,0.62083,0.21467,0.20588,0.5,1.05188,0.03896,2.488,0.08824,,6.85835,0.4,0.0034
최준우,36,33,0,3,7,2,0,0,0,0,0,0,3,0,0,3,2,0,6,0,5,0,내,2900,3100,0.27778,0.27273,0.55051,0.19318,0.21212,0.42857,1.5942,0.05904,1.856,0.06061,,7.01139,0.23333,0.00778
정보근,35,32,1,3,4,0,0,0,0,0,0,0,2,0,1,10,2,0,3,1,6,1,포,2700,2900,0.2,0.125,0.325,0.12125,0.0625,0.23333,-1.44625,-0.05356,-0.32,0,,7.13934,0.18182,0.00641
박찬도,34,32,2,10,9,1,0,0,0,1,0,0,2,1,0,10,0,0,8,1,9,1,외,5500,5000,0.32353,0.3125,0.63603,0.22371,0.09375,0.5,2.02277,0.07492,2.84,0.03125,,7.56815,0.40909,0.01247
김호재,33,32,0,1,7,1,0,0,0,1,0,0,1,0,0,7,1,0,5,0,6,0,내,3000,4000,0.24242,0.25,0.49242,0.17159,0.0625,0.33333,0.40113,0.01486,1.064,0.03125,,7.56815,0.28,0.0005
고장혁,32,31,3,2,7,0,1,0,0,1,0,0,0,0,1,8,1,4,8,2,10,2,내,5000,5000,0.25,0.29032,0.54032,0.18508,0.06452,0.38462,0.77225,0.0286,1.466,0.06452,,7.76559,0.30435,0.00184
이동훈,31,31,4,3,9,1,0,0,3,0,0,0,0,0,0,8,1,0,6,2,13,3,외,3500,3300,0.29032,0.32258,0.6129,0.21129,0.16129,0.56522,2.21469,0.08203,2.846,0.03226,0,8.03419,0.3913,0.01491
주효상,30,29,5,3,6,2,1,0,0,0,0,0,1,0,0,7,0,1,4,2,10,2,포,4500,4000,0.23333,0.34483,0.57816,0.19121,0.27586,0.47826,1.45902,0.05404,2.194,0.13793,,8.36773,0.27273,0.00653
백승현,30,30,0,1,5,1,0,0,1,0,0,0,0,0,0,10,1,1,5,0,10,0,내,3100,3400,0.16667,0.2,0.36667,0.125,0.1,0.26923,-0.91173,-0.03377,0.2,0.03333,0,8.302,0.25,0.00256
김태군,28,22,1,0,4,0,0,0,0,0,0,0,4,0,2,8,1,0,9,0.5,7,1,포,23000,20000,0.35714,0.18182,0.53896,0.20617,0.18182,0.52632,1.11924,0.04145,1.986,0,,8.99918,0.28571,0.00385
이성곤,28,28,0,1,5,3,0,0,0,0,0,0,0,0,0,6,0,0,3,0,5,0,외,3200,3500,0.17857,0.28571,0.46429,0.15179,0.21429,0.34783,0.27629,0.01023,1.042,0.10714,,8.98664,0.22727,0.00024
황대인,28,25,0,0,5,2,0,0,0,0,0,0,1,0,2,8,0,0,3,0,6,0,내,3200,3000,0.28571,0.28,0.56571,0.19857,0.2,0.5,1.18714,0.04397,2.096,0.08,,9.017,0.29412,0.00433
김경호,27,26,2,4,5,1,0,0,0,0,1,0,0,0,0,7,0,0,11,1,8,1,외,2700,2900,0.19231,0.23077,0.42308,0.14423,0.07692,0.28571,0.08174,0.00303,0.814,0.03846,,9.57923,0.26316,0.00002
홍창기,26,24,0,3,6,2,0,0,3,0,0,0,1,0,1,12,1,0,6,1,6,1,외,3500,3800,0.30769,0.33333,0.64103,0.22179,0.33333,0.68421,1.25657,0.04654,2.574,0.08333,0,9.68285,0.5,0.00485
정상호,24,24,2,1,2,1,0,0,0,0,0,0,0,0,0,11,3,0,1,1,4,1,포,50000,7000,0.08333,0.125,0.20833,0.06875,0.08333,0.12,-3.14866,-0.11662,-1.958,0.04167,,10.3775,0.15385,0.02969
최승준,24,22,0,2,5,0,0,0,0,0,0,0,2,0,0,10,1,0,3,0,2,0,내,5000,4000,0.29167,0.22727,0.51894,0.18807,0.09091,0.38889,0.24925,0.00923,1.2,0,,10.38146,0.41667,0.00019
남태혁,24,22,1,1,5,0,0,0,0,0,0,0,2,0,0,3,3,0,3,0.5,6,1,내,3300,3000,0.29167,0.22727,0.51894,0.18807,0.09091,0.35,0.36069,0.01336,0.516,0,,10.38146,0.26316,0.0004
박승규,23,21,2,2,4,0,0,0,1,1,0,0,2,0,0,7,0,0,4,0.5,9,1,외,2700,3200,0.26087,0.19048,0.45135,0.16501,0.09524,0.38889,0.17282,0.0064,0.954,0,0,10.83283,0.28571,0.00009
이병규,22,19,0,1,3,2,0,0,0,0,0,0,2,0,1,7,1,0,3,0,4,0,외,9500,5000,0.27273,0.26316,0.53589,0.18852,0.31579,0.47059,0.21836,0.00809,1.094,0.10526,,11.47468,0.25,0.00015
김종민,21,20,1,2,4,0,0,1,0,0,1,0,0,0,0,7,1,0,1,0,7,0,포,5300,4800,0.2,0.35,0.55,0.1775,0.2,0.41176,0.25534,0.00946,1.114,0.15,0,12.4956,0.25,0.0002
최정용,21,21,1,4,6,0,0,0,0,0,0,0,0,0,0,10,0,1,3,1,4,1,내,3600,3600,0.28571,0.28571,0.57143,0.2,0,0.4,0.72063,0.02669,1.57,0,,11.7989,0.54545,0.0016
하주석,20,19,2,3,5,2,0,0,0,0,1,0,0,0,0,4,1,2,4,1.5,6,2,내,18000,14000,0.26316,0.36842,0.63158,0.21053,0.21053,0.46667,0.96469,0.03573,1.318,0.10526,,13.17595,0.33333,0.00286
한준수,20,20,2,2,6,2,0,0,0,0,0,0,0,0,0,2,2,0,2,1.333333333,5,2,포,2700,2900,0.3,0.4,0.7,0.235,0.2,0.5,1.37867,0.05106,1.424,0.1,,12.51715,0.33333,0.00583
신용수,20,20,2,4,2,0,0,1,0,0,0,0,0,0,0,4,0,4,3,0,3,0,내,2700,2900,0.1,0.25,0.35,0.1075,0.2,0.27778,-0.42917,-0.0159,0.288,0.15,0,12.4956,0.06667,0.00057
김준완,19,16,1,0,4,0,0,0,0,0,0,1,2,0,0,2,0,0,5,0,4,0,외,8000,8000,0.31579,0.25,0.56579,0.20461,0.125,0.5,1.53997,0.05704,1.954,0,,13.11342,0.26667,0.00727
박지규,18,11,1,2,1,0,0,0,0,0,1,0,4,0,2,7,0,1,5,0,2,0,내,4500,4000,0.41176,0.09091,0.50267,0.20802,0.36364,0.7,0.70593,0.02615,1.624,0,,14.82218,0.25,0.00154
김대한,18,15,0,4,0,0,0,0,0,0,0,0,3,0,0,9,0,1,5,0,7,0,외,2700,2800,0.16667,0,0.16667,0.075,0.2,0.2,-1.57856,-0.05847,-0.402,0,,13.88022,0,0.00763
임지열,18,15,3,0,2,1,0,0,0,0,1,0,1,0,1,7,1,2,4,1,4,1,내,2700,2700,0.23529,0.2,0.43529,0.15588,0.2,0.35714,-0.49,-0.01815,0.344,0.06667,,14.73359,0.25,0.00074
정진기,17,16,2,1,3,0,0,0,0,0,0,0,1,0,0,2,0,0,7,1,2,1,외,8200,4600,0.23529,0.1875,0.42279,0.15276,0.0625,0.30769,0.47224,0.01749,0.654,0,,14.61565,0.21429,0.00069
이진영,15,15,2,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,7,2,외,3400,3400,0.13333,0.13333,0.26667,0.09333,0,0.15385,-0.65037,-0.02409,-0.202,0,,16.51847,0.18182,0.0013
김영환,15,14,0,1,1,0,0,0,0,0,0,0,1,0,0,3,1,0,2,0,2,0,내,3000,3300,0.13333,0.07143,0.20476,0.07786,0.07143,0.14286,-1.10774,-0.04103,-0.724,0,,16.5644,0.09091,0.00377
이정훈,15,14,3,0,4,1,0,0,0,0,0,1,0,0,0,1,2,0,4,0.666666667,7,2,포,3000,3000,0.26667,0.35714,0.62381,0.20929,0.14286,0.41667,0.61827,0.0229,0.942,0.07143,,16.604,0.28571,0.00118
김응민,13,13,0,0,3,1,0,0,0,0,0,0,0,0,0,6,1,0,1,0,3,0,포,2900,3200,0.23077,0.30769,0.53846,0.18077,0.15385,0.36364,-0.19634,-0.00727,0.402,0.07692,,19.15846,0.42857,0.00012
이유찬,13,13,1,6,3,0,0,0,5,0,0,0,0,0,0,3,0,1,13,1.5,7,2,내,2900,3200,0.23077,0.23077,0.46154,0.16154,0.38462,0.8,1.05485,0.03907,1.476,0,0,19.05977,0.3,0.00342
장운호,12,10,0,2,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,외,4800,3800,0.18182,0.1,0.28182,0.10682,0,0.2,-0.45085,-0.0167,-0.258,0,,22.58782,0.11111,0.00063
류형우,12,11,1,2,2,0,0,0,0,0,0,0,1,0,0,3,1,0,4,1,3,1,내,2700,3200,0.25,0.18182,0.43182,0.15795,0.09091,0.3,-0.15119,-0.0056,0.136,0,,20.7055,0.25,0.00007
김웅빈,11,11,3,1,3,1,0,0,0,0,0,0,0,0,0,2,2,0,2,1.5,5,2,내,3700,3700,0.27273,0.36364,0.63636,0.21364,0.18182,0.4,0.10238,0.00379,0.244,0.09091,,22.64182,0.33333,0.00003
박한결,11,11,0,0,2,0,0,0,0,1,0,0,0,0,0,4,1,0,2,0,2,0,내,2700,3000,0.18182,0.18182,0.36364,0.12727,-0.09091,0.18182,-0.92667,-0.03432,-0.532,0,,22.52518,0.28571,0.00264
최승민,10,9,1,5,4,1,0,0,6,2,0,0,1,0,0,2,0,0,16,0,2,0,외,2700,3000,0.5,0.55556,1.05556,0.36389,0.77778,1.71429,2.2521,0.08341,2.534,0.11111,0,24.9749,0.57143,0.01541
김은성,10,8,0,1,1,0,0,0,0,0,0,0,2,0,0,2,1,1,2,0,1,0,내,2700,2900,0.3,0.125,0.425,0.16625,0.25,0.375,-0.07189,-0.00266,0.164,0,,24.9155,0.16667,0.00002
최선호,8,6,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,8,0,0,0,외,4300,3800,0.375,0.16667,0.54167,0.21042,0.5,0.8,0.87741,0.0325,0.91,0,0,31.14438,0.16667,0.00237
오영수,8,8,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,내,3000,2900,0.125,0.125,0.25,0.0875,0,0.14286,-0.59993,-0.02222,-0.162,0,,30.97213,0.25,0.00111
김재성,7,5,1,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0.5,3,1,포,2900,3100,0.42857,0.2,0.62857,0.24286,0.4,0.75,0.58443,0.02165,0.804,0,,35.59357,0.33333,0.00105
김병희,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,내,2800,3000,0.14286,0.14286,0.28571,0.1,0,0.16667,-0.27484,-0.01018,-0.056,0,,35.39671,0.2,0.00023
최정민,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,내,4500,3500,0,0,0,0,0,0,-0.71333,-0.02642,-0.466,0,,49.5554,0,0.00157
윤수강,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,포,3200,3200,0.25,0.25,0.5,0.175,0,0.25,-0.20667,-0.00765,-0.148,0,,61.94425,0.33333,0.00013
유영준,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,내,2700,2800,0,0,0,0,0,0,-0.50667,-0.01877,-0.368,0,,61.94425,0,0.00079
김성민,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,포,2700,2700,0.25,0.25,0.5,0.175,0,0.33333,-0.08875,-0.00329,0.206,0,,61.94425,1,0.00002
서예일,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,내,3100,3200,0,0,0,0,0,0,-0.3,-0.01111,-0.27,0,,82.59233,0,0.00028
이현석,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,포,2800,3000,0,0,0,0,0,0,-0.3,-0.01111,-0.27,0,,82.59233,0,0.00028
김재현,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,내,7000,5500,0,0,0,0,0,0,-0.30667,-0.01136,-0.188,0,,123.8885,0,0.00029
이현동,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,외,2900,2900,0,0,0,0,0,0,-0.30667,-0.01136,-0.188,0,,123.8885,0,0.00029
최민재,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,외,2800,2800,0,0,0,0,0,0,-0.2,-0.00741,-0.18,0,,123.8885,0,0.00012
송승환,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,내,2700,2800,0,0,0,0,0,0,-0.30667,-0.01136,-0.188,0,,123.8885,0,0.00029
오준혁,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,외,3700,3000,0,0,0,0,0,0,-0.20667,-0.00765,-0.098,0,,247.777,,0.00013
채현우,1,1,0,2,0,0,0,0,3,1,0,0,0,0,0,1,0,0,4,0,0,0,외,2700,3000,0,0,0,0,2,1.5,-0.26596,-0.00985,0.122,0,0,247.777,,0.00022
박민석,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,내,2700,2900,0,0,0,0,0,0,-0.1,-0.0037,-0.09,0,,247.777,0,0.00003
박상언,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,포,2800,2800,0,0,0,0,0,0,-0.20667,-0.00765,-0.098,0,,247.777,,0.00013
추재현,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,외,2700,2700,0,0,0,0,0,0,-0.1,-0.0037,-0.09,0,,247.777,0,0.00003
