선수명,팀명,경기,타석,타수,안타,단타,2루타,3루타,홈런,득점,타점,볼넷,고4,HBP,삼진,희플,희타,병살,도루,도실,타율,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,PSN,wOBA,OW%,BABIP
박석민,NC,59,205,171,44,26,8,0,10,27,41,27,1,2,43,2,5,8,0,0,0.257,0.361386139,0.479532164,0.840918302,0.282506803,0.485380117,0.822222222,23.4127328,0.867138252,29.136,0.222222222,0,1.034527363,0.397982874,0.283333333
박성한,SSG,135,471,407,123,97,21,1,4,53,44,49,0,1,73,2,14,1,12,5,0.302,0.376906318,0.388206388,0.765112706,0.26665944,0.287469287,0.75862069,57.80897068,2.141072988,62.766,0.085995086,6,0.647934641,0.80120632,0.358433735
박세혁,두산,96,270,237,52,40,12,0,0,25,30,22,0,5,43,3,6,6,4,2,0.219,0.29588015,0.270042194,0.565922344,0.200656616,0.202531646,0.492227979,14.78205828,0.54748364,20.036,0.050632911,0,0.742576779,0.208563086,0.263959391
박준영,NC,111,315,273,57,40,7,2,8,37,31,27,0,10,92,2,5,9,4,3,0.209,0.301282051,0.336996337,0.638278388,0.219826007,0.293040293,0.583333333,16.9180952,0.626596118,28.414,0.128205128,5.333333333,0.706564103,0.256608852,0.28
박찬호,KIA,131,483,418,103,82,15,5,1,51,59,54,0,0,73,3,11,11,9,4,0.246,0.330526316,0.313397129,0.643923445,0.227086124,0.258373206,0.587878788,38.87853919,1.439945896,45.686,0.066985646,1.8,0.564593684,0.645758765,0.293948127
박해민,삼성,127,542,454,132,104,22,1,5,78,54,69,2,3,82,7,16,3,36,15,0.291,0.382739212,0.376651982,0.759391194,0.266395641,0.345814978,0.820588235,65.64271621,2.431211712,74.544,0.085903084,8.780487805,0.607709981,0.838622774,0.339572193
배정대,KT,144,595,510,132,96,23,1,12,85,68,65,2,12,132,5,8,9,19,7,0.259,0.353040541,0.378431373,0.731471913,0.253476086,0.341176471,0.733502538,58.56828741,2.16919583,73.824,0.119607843,14.70967742,0.580786441,0.805330549,0.323450135
변상권,Hero,72,171,159,38,29,5,4,0,19,20,9,0,0,40,3,3,2,0,0,0.239,0.274853801,0.320754717,0.595608518,0.20387289,0.194968553,0.487804878,10.2187,0.37847037,14.6,0.081761006,,0.960421053,0.111848388,0.31147541
서건창,LG,68,267,235,58,43,12,1,2,33,25,24,0,3,34,1,5,5,6,0,0.247,0.323193916,0.331914894,0.65510881,0.228415986,0.276595745,0.60989011,23.6342209,0.875341515,26.838,0.085106383,3,0.790205323,0.402503282,0.28
서건창,Hero,76,333,278,72,55,12,1,4,45,28,45,2,6,44,3,4,9,6,4,0.259,0.370481928,0.352517986,0.722999913,0.254846364,0.323741007,0.707762557,34.31063373,1.270764212,38.948,0.09352518,4.8,0.726784848,0.586732448,0.291845494
손아섭,롯데,139,610,542,173,139,29,2,3,88,58,61,3,3,67,1,4,15,11,6,0.319,0.390444811,0.396678967,0.787123777,0.274869906,0.26199262,0.743589744,78.62952624,2.912204676,79.564,0.077490775,4.714285714,0.592344371,0.881744795,0.359408034
송성문,Hero,66,274,245,61,44,10,1,6,30,33,25,0,1,42,1,3,2,0,0,0.249,0.319852941,0.371428571,0.691281513,0.236790966,0.293877551,0.629032258,26.27109495,0.973003517,30.574,0.12244898,0,0.793084559,0.454253697,0.277777778
송우현,Hero,69,282,250,74,52,17,2,3,34,42,28,1,2,49,1,2,4,1,1,0.296,0.370106762,0.416,0.786106762,0.270548043,0.32,0.745856354,33.79863039,1.251801126,37.348,0.12,1.5,0.828539286,0.579422614,0.35678392
신본기,KT,96,206,174,41,32,8,0,1,25,19,22,0,4,45,1,6,6,1,2,0.236,0.333333333,0.298850575,0.632183908,0.224712644,0.235632184,0.560283688,12.90671541,0.478026496,17.64,0.063218391,1,0.919089552,0.167292113,0.310077519
심우준,KT,139,460,407,109,81,20,2,6,61,48,32,0,4,65,6,16,2,16,6,0.268,0.322939866,0.371007371,0.693947237,0.238074783,0.275184275,0.663398693,46.01748937,1.704351458,53.6,0.103194103,8.727272727,0.619942094,0.71861585,0.301169591
안재석,두산,96,224,200,51,39,8,2,2,28,14,16,0,4,53,4,4,4,1,0,0.255,0.316964286,0.345,0.661964286,0.228883929,0.235,0.588235294,17.46935019,0.64701297,23.526,0.09,1.333333333,0.855616071,0.269031659,0.32885906
안중열,롯데,58,157,125,29,21,5,0,3,19,16,27,0,1,25,1,4,1,0,0,0.232,0.37012987,0.344,0.71412987,0.252558442,0.392,0.731958763,16.28533333,0.603160494,19.26,0.112,0,1.141123377,0.242337413,0.265306122
안치홍,롯데,119,490,421,129,87,30,2,10,58,82,52,2,3,59,9,14,10,3,6,0.306,0.379381443,0.458432304,0.837813747,0.285329725,0.368171021,0.814935065,65.84370768,2.43865584,72.158,0.152019002,4.615384615,0.681664596,0.839448558,0.329639889
알몬테,KT,60,250,225,61,45,9,0,7,18,36,22,0,1,50,2,2,9,1,0,0.271,0.336,0.404444444,0.740444444,0.252311111,0.306666667,0.664739884,24.10105159,0.89263154,29.39,0.133333333,1.75,0.858016,0.411946124,0.317647059
알테어,NC,143,565,492,134,81,19,2,32,83,84,57,2,11,156,4,4,6,20,5,0.272,0.358156028,0.514227642,0.872383671,0.289727123,0.495934959,0.924119241,73.49508689,2.722040255,93.232,0.241869919,24.61538462,0.668651246,0.866920453,0.331168831
양석환,두산,133,546,488,133,83,22,0,28,66,96,42,2,9,136,7,7,10,2,3,0.273,0.336996337,0.489754098,0.826750435,0.274086876,0.403688525,0.793478261,62.7107859,2.3226217,80.352,0.217213115,3.733333333,0.658860294,0.825869244,0.317220544
양의지,NC,141,570,480,156,95,29,2,30,81,111,69,5,11,60,10,10,12,2,1,0.325,0.414035088,0.58125,0.995285088,0.331628289,0.529166667,1.071216617,103.7039052,3.840885377,110.47,0.25625,3.75,0.725959292,0.928418278,0.315
오재일,삼성,120,484,418,119,74,20,0,25,64,97,58,8,0,106,8,8,5,1,0,0.285,0.365702479,0.511961722,0.877664202,0.292556546,0.476076555,0.898026316,66.41371707,2.459767299,80.252,0.227272727,1.923076923,0.70872479,0.841758431,0.318644068
오지환,LG,134,532,464,118,90,19,1,8,62,57,54,0,5,82,5,9,11,12,6,0.254,0.335227273,0.351293103,0.686520376,0.238675549,0.286637931,0.644628099,48.59276094,1.799731886,57.884,0.096982759,9.6,0.578123106,0.740104583,0.290237467
오태곤,SSG,122,253,235,63,44,10,0,9,47,35,14,0,2,52,1,2,4,9,4,0.268,0.313492063,0.425531915,0.739023978,0.247454407,0.319148936,0.694444444,24.97679283,0.925066401,31.014,0.157446809,9,0.861313492,0.429340419,0.308571429
유강남,LG,130,441,397,100,73,16,0,11,39,60,25,1,14,75,2,5,11,2,0,0.252,0.317351598,0.375314861,0.69266646,0.236636935,0.259445844,0.616883117,38.8928622,1.440476378,46.93,0.123425693,3.384615385,0.635187643,0.645927264,0.284345048
유한준,KT,103,337,282,87,66,16,0,5,30,42,44,5,7,34,4,4,12,1,0,0.309,0.409495549,0.418439716,0.827935265,0.288882926,0.343971631,0.821256039,46.09080978,1.707067029,48.168,0.109929078,1.666666667,0.77846988,0.719259249,0.331983806
이대호,롯데,114,465,420,120,90,11,0,19,39,81,34,3,5,49,6,6,12,0,0,0.286,0.341935484,0.447619048,0.789554531,0.26577573,0.314285714,0.727564103,58.38826129,2.162528196,63.898,0.161904762,0,0.65888961,0.804363477,0.282122905
이명기,NC,56,232,191,56,42,12,0,2,30,14,37,0,1,27,0,3,2,6,3,0.293,0.410480349,0.387434555,0.797914904,0.281574796,0.376963351,0.842857143,31.09799828,1.151777714,32.574,0.094240838,3,0.932545852,0.538386804,0.333333333
이성곤,한화,60,206,172,46,31,12,2,1,17,24,29,0,3,52,1,2,4,0,3,0.267,0.380487805,0.377906977,0.758394782,0.265696256,0.348837209,0.729323308,19.69314643,0.729375794,24.794,0.110465116,0,0.96795122,0.318668936,0.375
