Name,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,Position,Money_19,Money_20
구본혁,95.0,85.0,6.0,10.0,15.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,6.0,0.0,2.0,17.0,0.0,1.0,23.0,0.833333333,15.0,2.0,내,2700,4000
송승환,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,내,2700,2800
김태근,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,외,2700,2800
페르난데스,645.0,572.0,88.0,87.0,197.0,34.0,0.0,15.0,1.0,2.0,0.0,6.0,61.0,4.0,6.0,54.0,16.0,3.0,123.0,27.499999998,134.0,42.0,내,300000,400000
김대한,18.0,15.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,1.0,5.0,0.0,7.0,0.0,외,2700,2800
김주형,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,내,2700,2700
양우현,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,내,2700,2700
박승규,23.0,21.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,4.0,0.5,9.0,1.0,외,2700,3200
김도환,106.0,93.0,7.0,7.0,19.0,6.0,0.0,2.0,0.0,0.0,4.0,1.0,8.0,0.0,0.0,36.0,0.0,1.0,19.0,5.0,21.0,5.0,포,2700,5000
이학주,436.0,385.0,36.0,43.0,101.0,14.0,3.0,7.0,15.0,5.0,5.0,4.0,32.0,0.0,10.0,89.0,3.0,19.0,80.0,14.333333333,95.0,22.0,내,2700,9000
신용수,20.0,20.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,0.0,3.0,0.0,내,2700,2900
고승민,89.0,83.0,6.0,7.0,21.0,6.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,16.0,1.0,2.0,11.0,5.0,14.0,5.0,내,2700,3800
오선우,57.0,53.0,4.0,5.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,24.0,0.0,0.0,8.0,1.0,14.0,2.0,내,2700,3000
터커,399.0,357.0,50.0,50.0,111.0,33.0,0.0,9.0,0.0,0.0,0.0,1.0,38.0,0.0,3.0,44.0,12.0,4.0,86.0,18.583333334,92.0,27.0,외,180000,550000
변우혁,61.0,53.0,2.0,7.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,17.0,3.0,1.0,12.0,2.0,13.0,3.0,내,2700,3000
노시환,192.0,177.0,13.0,19.0,33.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,11.0,0.0,2.0,72.0,3.0,7.0,37.0,6.833333333000001,44.0,9.0,내,2700,3300
유장혁,61.0,55.0,4.0,10.0,9.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,17.0,0.0,0.0,13.0,2.0,14.0,2.0,외,2700,3200
채현우,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,외,2700,3000
김창평,53.0,45.0,3.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0,11.0,1.0,0.0,7.0,3.333333333,16.0,4.0,내,2700,3000
김성민,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,포,2700,2700
김주찬,363.0,337.0,32.0,35.0,101.0,16.0,0.0,3.0,3.0,1.0,1.0,3.0,17.0,3.0,5.0,44.0,6.0,6.0,71.0,15.666666666,88.0,22.0,내,40000,40000
이성우,74.0,64.0,6.0,2.0,10.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,3.0,11.0,2.0,3.0,14.0,2.5,16.0,3.0,포,7000,8000
이대호,549.0,485.0,88.0,48.0,138.0,23.0,1.0,16.0,0.0,0.0,0.0,7.0,47.0,4.0,10.0,65.0,19.0,1.0,102.0,28.833333333,131.0,38.0,내,250000,250000
김태균,500.0,433.0,62.0,47.0,132.0,21.0,0.0,6.0,3.0,0.0,0.0,8.0,54.0,5.0,5.0,94.0,15.0,1.0,94.0,26.166666666,113.0,34.0,내,100000,50000
김강민,460.0,422.0,50.0,54.0,114.0,14.0,2.0,8.0,15.0,8.0,0.0,3.0,31.0,3.0,4.0,103.0,2.0,3.0,79.0,21.499999999,104.0,31.0,외,40000,35000
정상호,24.0,24.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,1.0,1.0,4.0,1.0,포,50000,7000
박용택,215.0,195.0,22.0,19.0,55.0,9.0,0.0,1.0,3.0,1.0,0.0,2.0,18.0,1.0,0.0,30.0,3.0,0.0,42.0,6.916666667,59.0,13.0,외,80000,80000
최형우,555.0,456.0,86.0,65.0,137.0,31.0,1.0,17.0,0.0,1.0,0.0,7.0,85.0,6.0,7.0,77.0,13.0,0.0,115.0,26.166666667,137.0,36.0,외,150000,150000
박경수,490.0,421.0,65.0,43.0,104.0,24.0,0.0,10.0,0.0,1.0,4.0,6.0,55.0,1.0,4.0,102.0,14.0,9.0,94.0,20.999999999,121.0,34.0,내,40000,40000
이성열,476.0,414.0,85.0,60.0,106.0,21.0,1.0,21.0,8.0,4.0,1.0,4.0,48.0,1.0,9.0,114.0,7.0,5.0,93.0,25.333333333,118.0,37.0,내,32000,50000
나주환,245.0,225.0,20.0,14.0,50.0,9.0,0.0,3.0,1.0,2.0,4.0,1.0,12.0,0.0,3.0,54.0,6.0,1.0,36.0,7.25,53.0,12.0,내,32000,12000
지석훈,169.0,149.0,15.0,15.0,34.0,9.0,0.0,2.0,0.0,1.0,2.0,2.0,10.0,1.0,6.0,37.0,6.0,5.0,28.0,4.333333333000001,40.0,6.0,내,15000,12500
김재호,470.0,377.0,48.0,51.0,101.0,22.0,0.0,4.0,3.0,3.0,8.0,11.0,67.0,3.0,7.0,58.0,10.0,10.0,104.0,17.5,105.0,27.0,내,65000,65000
윤석민,178.0,169.0,17.0,4.0,39.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,24.0,4.0,5.0,35.0,6.833333333000001,51.0,11.0,내,24000,18000
유한준,562.0,501.0,86.0,61.0,159.0,19.0,1.0,14.0,3.0,0.0,0.0,5.0,52.0,1.0,4.0,61.0,20.0,2.0,118.0,36.166666667,142.0,53.0,외,60000,50000
박석민,444.0,360.0,74.0,49.0,96.0,17.0,1.0,19.0,1.0,2.0,4.0,3.0,65.0,2.0,12.0,69.0,17.0,11.0,92.0,19.083333333,107.0,30.0,내,75000,70000
강민호,393.0,346.0,45.0,36.0,81.0,20.0,0.0,13.0,0.0,0.0,2.0,3.0,33.0,2.0,9.0,76.0,9.0,8.0,71.0,12.166666666,85.0,20.0,포,125000,125000
최진행,129.0,117.0,19.0,10.0,27.0,6.0,0.0,6.0,0.0,0.0,0.0,1.0,9.0,0.0,2.0,28.0,3.0,0.0,26.0,4.333333333,38.0,6.0,외,20000,16000
박병호,532.0,432.0,98.0,92.0,121.0,22.0,0.0,33.0,0.0,1.0,0.0,9.0,78.0,5.0,13.0,117.0,7.0,6.0,110.0,21.0,117.0,34.0,내,150000,200000
정의윤,419.0,380.0,59.0,44.0,107.0,24.0,0.0,13.0,0.0,0.0,0.0,2.0,30.0,1.0,6.0,60.0,9.0,1.0,77.0,19.166666665,111.0,31.0,외,30000,30000
오재일,529.0,467.0,102.0,76.0,137.0,29.0,1.0,21.0,2.0,1.0,0.0,4.0,55.0,1.0,3.0,99.0,5.0,4.0,94.0,27.7,131.0,45.0,내,30000,47000
이원석,455.0,395.0,76.0,44.0,97.0,20.0,0.0,19.0,2.0,1.0,2.0,7.0,43.0,0.0,8.0,73.0,10.0,13.0,78.0,22.333333333,115.0,35.0,내,30000,30000
정근우,305.0,277.0,30.0,37.0,77.0,10.0,1.0,3.0,8.0,5.0,3.0,1.0,20.0,1.0,4.0,43.0,11.0,6.0,60.0,14.5,61.0,22.0,내,70000,35000
최정,606.0,503.0,99.0,86.0,147.0,27.0,0.0,29.0,3.0,2.0,0.0,8.0,69.0,6.0,26.0,92.0,4.0,14.0,135.0,30.499999999000003,141.0,47.0,내,120000,120000
이병규,22.0,19.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,1.0,0.0,3.0,0.0,4.0,0.0,외,9500,5000
최승준,24.0,22.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,1.0,0.0,3.0,0.0,2.0,0.0,내,5000,4000
양의지,459.0,390.0,68.0,61.0,138.0,26.0,0.0,20.0,4.0,3.0,0.0,6.0,48.0,4.0,15.0,43.0,13.0,2.0,100.0,26.5,110.0,40.0,포,200000,200000
민병헌,420.0,369.0,43.0,52.0,112.0,24.0,2.0,9.0,13.0,6.0,1.0,3.0,42.0,0.0,5.0,55.0,9.0,2.0,82.0,11.516666667,83.0,24.0,외,125000,125000
최주환,325.0,285.0,47.0,27.0,79.0,13.0,0.0,4.0,0.0,0.0,0.0,11.0,28.0,0.0,1.0,35.0,10.0,3.0,51.0,16.333333334000002,89.0,25.0,내,38500,27000
김현수,595.0,526.0,82.0,75.0,160.0,37.0,0.0,11.0,3.0,1.0,0.0,9.0,54.0,9.0,6.0,52.0,11.0,1.0,128.0,30.416666665,146.0,48.0,외,130000,130000
황재균,507.0,448.0,67.0,78.0,127.0,16.0,3.0,20.0,10.0,7.0,0.0,5.0,52.0,2.0,2.0,71.0,10.0,11.0,87.0,19.333333333,103.0,27.0,내,120000,120000
유재신,59.0,51.0,6.0,17.0,13.0,2.0,1.0,0.0,4.0,3.0,1.0,1.0,6.0,0.0,0.0,12.0,1.0,1.0,26.0,2.333333333,10.0,3.0,외,5700,4700
김문호,109.0,103.0,4.0,6.0,25.0,7.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,30.0,1.0,1.0,19.0,2.0,21.0,2.0,외,8000,5000
정범모,45.0,40.0,4.0,4.0,9.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,15.0,0.0,1.0,9.0,0.333333333,8.0,1.0,포,6800,5500
송광민,486.0,454.0,51.0,50.0,120.0,21.0,0.0,7.0,8.0,2.0,3.0,5.0,21.0,0.0,3.0,91.0,18.0,16.0,87.0,18.083333333,111.0,29.0,내,25000,25000
김성현,472.0,426.0,34.0,45.0,105.0,16.0,2.0,1.0,6.0,2.0,8.0,3.0,33.0,0.0,2.0,43.0,15.0,26.0,95.0,17.083333333,111.0,24.0,내,28000,21000
이재원,502.0,451.0,75.0,33.0,121.0,19.0,0.0,12.0,1.0,0.0,1.0,7.0,34.0,2.0,9.0,59.0,16.0,6.0,102.0,25.583333332,132.0,40.0,포,140000,130000
이명기,547.0,484.0,36.0,62.0,142.0,17.0,3.0,2.0,14.0,4.0,7.0,4.0,48.0,2.0,4.0,66.0,12.0,2.0,126.0,19.0,108.0,29.0,외,22000,24000
김재현,49.0,42.0,2.0,29.0,12.0,2.0,1.0,0.0,13.0,6.0,3.0,0.0,4.0,0.0,0.0,11.0,0.0,0.0,26.0,1.0,4.0,1.0,외,5600,5600
허도환,93.0,79.0,6.0,3.0,10.0,3.0,0.0,1.0,0.0,1.0,4.0,2.0,5.0,0.0,3.0,18.0,3.0,2.0,15.0,0.0,17.0,0.0,포,6000,6500
오재원,204.0,177.0,18.0,30.0,29.0,8.0,1.0,3.0,6.0,2.0,2.0,0.0,25.0,0.0,0.0,50.0,3.0,7.0,35.0,8.5,52.0,11.0,내,55000,30000
채태인,182.0,167.0,29.0,11.0,42.0,11.0,0.0,5.0,0.0,0.0,0.0,2.0,11.0,1.0,2.0,45.0,5.0,1.0,31.0,8.666666667,51.0,13.0,내,20000,10000
손아섭,568.0,512.0,63.0,78.0,151.0,22.0,1.0,10.0,13.0,8.0,1.0,2.0,52.0,1.0,1.0,92.0,6.0,4.0,112.0,22.333333333,123.0,36.0,외,150000,200000
김민성,401.0,361.0,50.0,44.0,94.0,16.0,0.0,8.0,2.0,1.0,5.0,1.0,30.0,0.0,4.0,75.0,12.0,6.0,56.0,18.416666667,88.0,29.0,내,40000,40000
이준수,49.0,36.0,3.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,1.0,11.0,1.0,2.0,11.0,1.5,10.0,2.0,포,3100,3800
김태군,28.0,22.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,8.0,1.0,0.0,9.0,0.5,7.0,1.0,포,23000,20000
이형종,482.0,419.0,63.0,56.0,120.0,24.0,1.0,13.0,6.0,5.0,1.0,10.0,42.0,1.0,10.0,78.0,9.0,2.0,84.0,17.75,113.0,28.0,외,17000,20000
서건창,486.0,426.0,41.0,67.0,128.0,23.0,3.0,2.0,17.0,3.0,3.0,5.0,49.0,1.0,3.0,50.0,5.0,6.0,91.0,21.5,96.0,33.0,내,35000,35000
김용의,210.0,179.0,17.0,35.0,39.0,5.0,3.0,0.0,8.0,3.0,4.0,1.0,24.0,1.0,2.0,38.0,1.0,5.0,45.0,10.0,48.0,12.0,내,8500,10500
김재환,574.0,495.0,91.0,76.0,140.0,20.0,5.0,15.0,3.0,1.0,0.0,11.0,63.0,5.0,5.0,113.0,7.0,0.0,109.0,28.583333333,140.0,42.0,외,73000,65000
최재훈,451.0,373.0,31.0,47.0,108.0,18.0,0.0,3.0,3.0,10.0,4.0,4.0,56.0,0.0,14.0,61.0,9.0,6.0,94.0,14.166666666,89.0,20.0,포,12500,20000
전민수,106.0,96.0,8.0,8.0,23.0,7.0,0.0,0.0,2.0,1.0,1.0,0.0,9.0,0.0,0.0,18.0,4.0,0.0,16.0,6.5,29.0,7.0,외,4000,5000
전준우,606.0,545.0,83.0,85.0,164.0,30.0,1.0,22.0,8.0,2.0,1.0,7.0,46.0,2.0,7.0,71.0,19.0,4.0,121.0,27.000000001000004,154.0,43.0,외,50000,50000
장성우,413.0,366.0,41.0,25.0,96.0,7.0,0.0,7.0,0.0,1.0,4.0,6.0,35.0,2.0,2.0,86.0,11.0,5.0,73.0,13.499999999,97.0,24.0,포,9500,13500
김선빈,447.0,394.0,40.0,55.0,115.0,22.0,0.0,3.0,5.0,4.0,5.0,4.0,43.0,0.0,1.0,26.0,7.0,10.0,89.0,18.666666666,91.0,27.0,내,30000,45000
나지완,153.0,129.0,17.0,12.0,24.0,5.0,0.0,6.0,0.0,0.0,0.0,2.0,19.0,1.0,3.0,37.0,3.0,0.0,24.0,2.833333333,36.0,5.0,외,60000,60000
백용환,51.0,47.0,6.0,3.0,11.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,14.0,0.0,2.0,8.0,1.833333333,13.0,3.0,포,4500,4000
오선진,453.0,392.0,36.0,37.0,88.0,16.0,0.0,3.0,7.0,2.0,10.0,3.0,38.0,0.0,10.0,72.0,8.0,12.0,90.0,18.166666666,99.0,26.0,내,7500,10500
모창민,386.0,341.0,55.0,49.0,104.0,21.0,2.0,10.0,3.0,2.0,0.0,11.0,31.0,1.0,3.0,62.0,8.0,5.0,77.0,15.5,88.0,23.0,내,30000,30000
오지환,547.0,473.0,53.0,63.0,119.0,23.0,5.0,9.0,27.0,5.0,7.0,3.0,57.0,1.0,7.0,113.0,7.0,12.0,112.0,19.666666666,125.0,32.0,내,40000,60000
문선재,61.0,49.0,6.0,7.0,8.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,9.0,0.0,1.0,18.0,0.0,2.0,12.0,0.5,7.0,1.0,외,6500,4500
정주현,425.0,376.0,27.0,53.0,87.0,19.0,2.0,2.0,15.0,6.0,16.0,1.0,31.0,0.0,1.0,91.0,10.0,13.0,64.0,9.166666666,87.0,17.0,내,8800,12500
채은성,514.0,470.0,72.0,59.0,148.0,18.0,1.0,12.0,2.0,2.0,0.0,8.0,24.0,1.0,12.0,67.0,9.0,2.0,112.0,24.649999998999995,133.0,44.0,외,31000,32000
박건우,537.0,458.0,64.0,83.0,146.0,27.0,5.0,10.0,12.0,3.0,1.0,11.0,60.0,0.0,7.0,57.0,23.0,3.0,115.0,23.666666665,116.0,33.0,외,38500,45000
정수빈,513.0,441.0,41.0,75.0,117.0,19.0,5.0,0.0,26.0,8.0,4.0,5.0,57.0,0.0,6.0,60.0,6.0,3.0,93.0,20.333333333,110.0,27.0,외,24500,34000
허경민,540.0,475.0,60.0,71.0,137.0,25.0,1.0,4.0,11.0,5.0,3.0,11.0,34.0,2.0,17.0,36.0,16.0,8.0,103.0,26.666666667,111.0,36.0,내,38500,48000
국해성,41.0,35.0,2.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,13.0,3.0,2.0,8.0,1.0,9.0,1.0,외,5000,4500
장영석,413.0,372.0,62.0,41.0,92.0,15.0,0.0,7.0,0.0,0.0,0.0,5.0,27.0,0.0,9.0,77.0,14.0,10.0,65.0,21.249999999,115.0,33.0,내,5300,7500
김종민,21.0,20.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,7.0,0.0,포,5300,4800
박동원,361.0,317.0,55.0,50.0,94.0,15.0,1.0,10.0,1.0,0.0,7.0,1.0,34.0,0.0,2.0,56.0,10.0,1.0,71.0,21.333333333,89.0,30.0,포,9000,22500
김상수,543.0,468.0,38.0,76.0,127.0,20.0,2.0,5.0,21.0,3.0,6.0,4.0,50.0,1.0,15.0,67.0,14.0,10.0,105.0,16.583333333,114.0,26.0,내,25000,25000
이지영,331.0,308.0,39.0,40.0,87.0,5.0,1.0,1.0,5.0,1.0,6.0,1.0,15.0,1.0,1.0,28.0,14.0,3.0,54.0,20.333333333,91.0,28.0,포,21000,30000
양종민,49.0,44.0,5.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,15.0,3.0,4.0,7.0,1.0,12.0,1.0,내,3000,3600
안치홍,408.0,362.0,49.0,45.0,114.0,18.0,1.0,5.0,4.0,2.0,0.0,5.0,40.0,1.0,1.0,37.0,9.0,11.0,98.0,17.75,124.0,29.0,내,50000,29000
김회성,117.0,104.0,18.0,7.0,24.0,4.0,0.0,3.0,2.0,1.0,1.0,1.0,11.0,0.0,0.0,24.0,1.0,2.0,23.0,8.0,33.0,10.0,내,6500,6500
