Name,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,Position,Money_19,Money_20,OBP,SLG,OPS
정주현,425,376,27,53,87,19,2,2,15,6,16,1,31,0,1,91,10,13,64,9.166666666,87,17,내,8800,12500,0.290953545,0.308510638,0.599464184
정진기,17,16,2,1,3,0,0,0,0,0,0,0,1,0,0,2,0,0,7,1,2,1,외,8200,4600,0.235294118,0.1875,0.422794118
정진호,110,96,3,13,20,0,0,1,5,2,3,0,11,0,0,24,2,0,26,3.5,20,4,외,11300,11300,0.289719626,0.239583333,0.52930296
정현,45,38,2,3,3,0,0,0,1,1,0,1,6,0,0,17,1,0,5,1.25,12,2,내,5300,3000,0.2,0.078947368,0.278947368
정훈,222,190,17,26,43,4,1,2,4,3,3,1,23,1,5,47,4,4,43,7.5,51,9,외,8000,6400,0.324200913,0.289473684,0.613674597
조용호,211,188,19,15,55,6,3,0,3,4,2,0,21,0,0,28,0,0,52,13.91666667,62,19,외,4000,7000,0.363636364,0.356382979,0.720019342
주효상,30,29,5,3,6,2,1,0,0,0,0,0,1,0,0,7,0,1,4,2,10,2,포,4500,4000,0.233333333,0.344827586,0.57816092
지석훈,169,149,15,15,34,9,0,2,0,1,2,2,10,1,6,37,6,5,28,4.333333333,40,6,내,15000,12500,0.299401198,0.32885906,0.628260258
지성준,109,104,11,7,26,6,0,2,0,0,0,0,5,0,0,21,3,0,19,4.833333333,31,7,포,5700,5700,0.28440367,0.365384615,0.649788285
채은성,514,470,72,59,148,18,1,12,2,2,0,8,24,1,12,67,9,2,112,24.65,133,44,외,31000,32000,0.357976654,0.434042553,0.792019207
채태인,182,167,29,11,42,11,0,5,0,0,0,2,11,1,2,45,5,1,31,8.666666667,51,13,내,20000,10000,0.302197802,0.407185629,0.709383431
채현우,1,1,0,2,0,0,0,0,3,1,0,0,0,0,0,1,0,0,4,0,0,0,외,2700,3000,0,0,0
최민재,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,외,2800,2800,0,0,0
최선호,8,6,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,8,0,0,0,외,4300,3800,0.375,0.166666667,0.541666667
최승민,10,9,1,5,4,1,0,0,6,2,0,0,1,0,0,2,0,0,16,0,2,0,외,2700,3000,0.5,0.555555556,1.055555556
최승준,24,22,0,2,5,0,0,0,0,0,0,0,2,0,0,10,1,0,3,0,2,0,내,5000,4000,0.291666667,0.227272727,0.518939394
최영진,275,251,20,29,63,15,1,5,4,1,8,0,14,2,2,47,4,8,59,7.666666667,57,13,내,5300,8000,0.29588015,0.378486056,0.674366206
최원준,255,232,18,33,46,11,3,1,8,4,2,1,16,0,4,51,4,6,43,8.083333333,56,13,내,10000,7000,0.260869565,0.284482759,0.545352324
최재훈,451,373,31,47,108,18,0,3,3,10,4,4,56,0,14,61,9,6,94,14.16666667,89,20,포,12500,20000,0.398210291,0.361930295,0.760140586
최정,606,503,99,86,147,27,0,29,3,2,0,8,69,6,26,92,4,14,135,30.5,141,47,내,120000,120000,0.399339934,0.51888668,0.918226614
최정민,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,내,4500,3500,0,0,0
최정용,21,21,1,4,6,0,0,0,0,0,0,0,0,0,0,10,0,1,3,1,4,1,내,3600,3600,0.285714286,0.285714286,0.571428571
최주환,325,285,47,27,79,13,0,4,0,0,0,11,28,0,1,35,10,3,51,16.33333333,89,25,내,38500,27000,0.332307692,0.364912281,0.697219973
최준우,36,33,0,3,7,2,0,0,0,0,0,0,3,0,0,3,2,0,6,0,5,0,내,2900,3100,0.277777778,0.272727273,0.550505051
최진행,129,117,19,10,27,6,0,6,0,0,0,1,9,0,2,28,3,0,26,4.333333333,38,6,외,20000,16000,0.294573643,0.435897436,0.730471079
최항,147,127,14,12,29,5,0,0,2,0,1,1,16,0,2,24,3,3,19,6.333333333,36,9,내,11000,7500,0.321917808,0.267716535,0.589634344
최형우,555,456,86,65,137,31,1,17,0,1,0,7,85,6,7,77,13,0,115,26.16666667,137,36,외,150000,150000,0.412612613,0.484649123,0.897261735
추재현,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,외,2700,2700,0,0,0
하주석,20,19,2,3,5,2,0,0,0,0,1,0,0,0,0,4,1,2,4,1.5,6,2,내,18000,14000,0.263157895,0.368421053,0.631578947
한동민,502,427,52,52,113,20,0,12,0,1,0,0,55,4,20,100,6,4,100,17.5,91,24,외,33000,25000,0.374501992,0.395784543,0.770286535
한동희,207,187,9,12,38,9,0,2,1,0,0,2,18,0,0,57,3,9,41,2.166666666,44,5,내,4900,4700,0.270531401,0.28342246,0.553953861
한승택,288,251,27,22,56,9,1,3,1,0,7,2,27,1,1,82,8,5,48,14.16666667,68,20,포,6000,8000,0.298932384,0.302788845,0.601721229
한준수,20,20,2,2,6,2,0,0,0,0,0,0,0,0,0,2,2,0,2,1.333333333,5,2,포,2700,2900,0.3,0.4,0.7
허경민,540,475,60,71,137,25,1,4,11,5,3,11,34,2,17,36,16,8,103,26.66666667,111,36,내,38500,48000,0.35009311,0.370526316,0.720619426
허도환,93,79,6,3,10,3,0,1,0,1,4,2,5,0,3,18,3,2,15,0,17,0,포,6000,6500,0.202247191,0.202531646,0.404778837
허일,162,149,17,14,38,4,0,1,2,1,0,0,12,0,1,28,1,1,40,11.75,48,14,외,3000,4100,0.314814815,0.302013423,0.616828238
허정협,77,68,8,3,16,1,0,0,0,0,0,1,7,0,1,19,1,0,13,5.5,20,6,외,4000,3500,0.311688312,0.25,0.561688312
홍창기,26,24,0,3,6,2,0,0,3,0,0,0,1,0,1,12,1,0,6,1,6,1,외,3500,3800,0.307692308,0.333333333,0.641025641
황대인,28,25,0,0,5,2,0,0,0,0,0,0,1,0,2,8,0,0,3,0,6,0,내,3200,3000,0.285714286,0.28,0.565714286
황윤호,130,123,9,9,37,5,2,1,2,2,1,1,5,0,0,12,2,6,27,5,33,6,내,4000,5000,0.325581395,0.398373984,0.723955379
황재균,507,448,67,78,127,16,3,20,10,7,0,5,52,2,2,71,10,11,87,19.33333333,103,27,내,120000,120000,0.357001972,0.466517857,0.82351983
