Name,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,Position,Money_18,OBP,SLG,OPS
이지영,203,178,19,31,61,10,0,2,0,0,6,0,15,1,4,27,3,4,52,8.833333333,48,12,포,21000,0.406091371,0.43258427,0.83867564
이진영,312,283,39,40,90,17,1,3,2,1,1,3,25,1,0,35,3,0,46,19,82,25,외,40000,0.36977492,0.416961131,0.78673605
이창진,30,29,0,5,5,1,0,0,0,1,0,0,0,0,1,3,2,0,10,0,5,0,내,3100,0.2,0.206896552,0.406896552
이천웅,405,359,39,61,122,22,3,2,10,10,2,2,39,2,3,48,11,1,76,21.83333333,91,29,외,8000,0.406947891,0.43454039,0.841488281
이택근,356,308,52,40,95,25,1,4,1,0,3,4,32,0,9,44,14,2,72,23.16666667,87,32,외,50000,0.385269122,0.435064935,0.820334057
이해창,174,162,24,19,35,4,0,8,0,3,1,0,8,0,3,49,3,2,22,7.666666667,49,12,포,7100,0.265895954,0.388888889,0.654784843
이형종,485,437,42,83,138,27,0,13,6,4,5,0,31,0,12,82,6,1,77,20.33333333,89,26,외,10500,0.377083333,0.466819222,0.843902555
이흥련,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,포,7500,0,0,0
임병욱,447,423,60,76,124,29,3,13,16,3,0,2,22,1,0,119,6,5,79,24,119,36,외,5000,0.326621924,0.468085106,0.79470703
임훈,88,83,7,10,19,3,0,2,0,0,2,0,3,0,0,15,3,0,13,3,18,3,외,7000,0.255813953,0.337349398,0.593163351
장성우,393,356,48,41,92,13,0,13,1,1,1,2,32,0,2,82,8,9,57,18,92,22,포,7300,0.321428571,0.404494382,0.725922953
장승현,16,13,1,2,5,0,0,0,0,0,2,0,1,0,0,2,2,0,7,1,3,1,포,2800,0.428571429,0.384615385,0.813186813
장시윤,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,내,3600,0,0,0
장영석,221,196,25,24,44,15,0,7,1,0,0,0,23,0,2,61,2,2,34,7.5,56,13,내,6000,0.312217195,0.408163265,0.72038046
장진혁,48,42,2,9,9,4,1,0,1,2,0,0,4,0,2,11,0,0,16,2,10,2,외,2800,0.3125,0.357142857,0.669642857
전민수,35,29,4,0,5,3,0,0,0,0,1,0,5,0,0,11,0,0,8,1.666666667,10,3,외,5100,0.294117647,0.275862069,0.569979716
전민재,8,8,3,2,3,1,0,0,0,0,0,0,0,0,0,2,1,0,5,1.5,4,2,내,2700,0.375,0.5,0.875
전병우,77,66,13,18,24,7,0,3,3,0,0,1,9,0,1,24,1,1,14,7.5,13,9,내,2700,0.441558442,0.606060606,1.047619048
전준우,614,556,90,118,190,36,2,33,7,7,1,2,48,1,7,82,12,3,95,32.16666667,116,44,외,27000,0.399673736,0.591726619,0.991400354
정경운,16,15,2,1,1,0,0,0,0,0,0,1,0,0,0,7,1,0,4,1,9,1,내,3300,0.0625,0.066666667,0.129166667
정근우,425,375,57,63,114,24,1,11,6,5,1,3,39,1,7,43,12,11,82,19.16666667,89,29,내,70000,0.377358491,0.461333333,0.838691824
정범모,219,190,18,20,34,9,0,4,1,0,7,3,15,0,4,62,4,4,30,6.5,41,9,포,5500,0.25,0.289473684,0.539473684
정병곤,16,15,2,1,1,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0.5,2,1,내,4500,0.0625,0.066666667,0.129166667
정상호,128,112,9,11,25,4,0,1,0,1,3,0,8,0,5,35,3,1,22,4.333333333,35,6,포,50000,0.304,0.285714286,0.589714286
정성훈,205,183,28,22,54,11,0,4,0,1,0,1,16,1,5,49,5,6,36,11.66666667,59,17,내,10000,0.365853659,0.420765027,0.786618686
정수빈,112,98,23,20,36,2,1,2,5,2,0,2,11,0,1,13,1,2,25,9.833333333,27,15,외,28000,0.428571429,0.469387755,0.897959184
정은원,227,201,20,33,50,5,3,4,5,1,2,1,22,0,1,50,0,5,41,11,42,14,내,2700,0.324444444,0.36318408,0.687628524
정의윤,239,217,38,27,59,9,0,11,1,1,0,1,19,1,2,29,8,1,41,13.83333333,58,18,외,30000,0.334728033,0.465437788,0.800165821
정주현,339,303,31,48,79,14,2,6,18,3,6,1,27,0,2,68,9,15,68,16.66666667,83,23,외,5000,0.324324324,0.379537954,0.703862278
정진기,212,201,17,33,49,8,1,3,11,3,3,0,6,0,2,45,2,5,36,8.833333333,55,13,외,6200,0.272727273,0.338308458,0.61103573
정진호,299,269,37,53,81,12,1,2,8,1,9,1,19,0,1,44,8,0,54,18.66666667,78,24,외,8500,0.348275862,0.375464684,0.723740546
정현,132,117,9,16,31,7,0,2,3,0,6,0,9,0,0,28,3,8,18,4,27,4,내,7800,0.317460317,0.376068376,0.693528694
정훈,194,174,26,33,53,10,1,7,4,2,0,3,16,1,1,39,4,2,40,9.666666666,48,13,내,10000,0.360824742,0.494252874,0.855077616
조동찬,59,54,2,5,12,1,0,1,0,0,1,0,4,0,0,14,2,0,12,0.333333333,18,1,내,40000,0.275862069,0.296296296,0.572158365
조수행,198,183,17,35,51,6,4,1,9,0,5,1,9,0,0,33,4,1,41,11,44,14,외,4500,0.310880829,0.371584699,0.682465528
조용호,14,13,0,4,1,0,0,0,0,1,1,0,0,0,0,5,0,0,5,0,1,0,외,6200,0.076923077,0.076923077,0.153846154
조원빈,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,내,2700,0,0,0
조홍석,71,62,1,14,14,1,0,0,0,2,1,0,6,0,2,13,2,0,12,1,10,1,외,2800,0.314285714,0.241935484,0.556221198
주효상,126,110,12,9,24,3,0,1,1,2,4,0,10,0,2,36,2,2,20,6.333333333,33,7,포,3500,0.295081967,0.272727273,0.56780924
지석훈,105,94,8,9,17,2,0,1,1,0,0,3,8,0,0,20,2,5,21,2.5,21,3,내,15000,0.238095238,0.234042553,0.472137791
지성준,224,207,29,22,57,7,0,7,1,0,2,1,12,0,2,55,6,3,40,13,55,17,포,2800,0.31981982,0.410628019,0.730447839
채은성,578,529,119,78,175,36,2,25,3,1,0,5,35,1,9,97,12,3,128,38.66666667,163,59,외,11000,0.378892734,0.548204159,0.927096892
채태인,420,376,75,44,110,18,0,15,0,0,1,4,34,3,5,107,10,4,72,27.65,119,39,내,20000,0.355608592,0.460106383,0.815714975
초이스,397,349,61,55,90,19,0,17,2,1,0,5,33,2,10,79,4,2,74,16.16666667,91,22,외,600000,0.335012594,0.458452722,0.793465317
최승준,79,72,11,5,18,3,0,4,0,0,0,0,6,0,1,25,3,2,6,2.333333333,16,4,내,5600,0.316455696,0.458333333,0.77478903
최영진,140,126,18,13,37,7,0,4,2,4,2,2,10,0,0,30,6,3,29,5.333333333,38,8,내,3300,0.34057971,0.444444444,0.785024155
최원제,13,11,0,1,3,0,0,0,0,0,0,0,1,0,1,5,0,0,2,0,1,0,내,3200,0.384615385,0.272727273,0.657342657
최원준,331,302,32,46,82,14,1,4,10,4,4,1,20,0,4,58,4,14,67,12.91666667,81,19,내,7500,0.324159021,0.364238411,0.688397432
최윤석,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,내,4800,1,,
최재훈,341,298,27,36,78,17,0,1,8,0,6,2,20,0,15,61,8,5,63,14.25,75,19,포,8000,0.337313433,0.32885906,0.666172493
최정,489,406,74,95,99,16,1,35,9,2,0,2,58,2,23,129,10,11,81,15.41666667,98,23,내,120000,0.36809816,0.54679803,0.914896189
최정민,95,83,6,17,21,2,0,2,1,3,4,0,7,0,1,20,2,3,24,3,18,3,내,5500,0.318681319,0.34939759,0.668078909
최주환,590,519,108,87,173,39,6,26,1,0,0,10,51,1,10,89,5,3,100,31.25,133,49,내,20000,0.396610169,0.581888247,0.978498416
최준석,179,153,24,7,39,3,0,4,0,0,0,2,24,0,0,41,6,0,17,13.5,50,15,내,5500,0.351955307,0.352941176,0.704896484
최진행,154,136,13,14,29,3,0,7,0,1,0,0,15,0,3,53,5,1,21,5.333333333,37,7,외,19000,0.305194805,0.389705882,0.694900688
최항,257,222,35,38,65,12,1,7,2,2,2,0,25,0,8,57,1,10,55,12.66666667,60,19,내,4200,0.384313725,0.45045045,0.834764176
최형우,609,528,103,92,179,34,1,25,3,0,0,8,66,7,7,87,17,4,114,33.83333333,158,54,외,150000,0.413793103,0.549242424,0.963035528
파레디스,71,65,4,7,9,2,1,1,1,0,0,1,4,1,1,17,0,1,9,1,17,1,외,700000,0.197183099,0.246153846,0.443336945
하주석,517,484,52,67,123,20,3,9,14,12,1,0,28,0,4,130,7,18,78,23.33333333,120,32,내,12000,0.300387597,0.363636364,0.664023961
하준호,26,22,2,2,3,1,0,1,0,0,4,0,0,0,0,14,0,0,1,1,2,1,외,5700,0.136363636,0.318181818,0.454545455
한동민,562,486,115,97,138,31,0,41,4,2,0,8,52,3,16,124,10,1,83,26.16666667,126,36,외,15000,0.366548043,0.600823045,0.967371088
한동희,226,211,25,24,49,13,1,4,0,1,0,1,12,0,2,58,7,12,40,11.33333333,67,17,내,2700,0.278761062,0.360189573,0.638950635
한승택,101,89,15,10,22,6,0,3,0,0,3,0,7,0,2,24,4,1,14,5.5,25,7,포,7500,0.316326531,0.415730337,0.732056868
허경민,577,516,79,85,167,30,5,10,20,4,5,8,32,0,16,52,15,7,104,32.66666667,140,49,내,26500,0.375874126,0.459302326,0.835176451
허도환,24,22,1,4,6,0,0,1,0,0,0,0,1,0,1,8,1,0,4,0,7,0,포,6800,0.333333333,0.409090909,0.742424242
허일,15,14,0,1,5,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,2,0,외,2700,0.4,0.357142857,0.757142857
허정협,24,24,2,4,6,2,0,0,0,0,0,0,0,0,0,7,1,0,7,1.5,7,2,외,4500,0.25,0.333333333,0.583333333
호잉,590,529,110,85,162,47,2,30,23,9,0,5,51,10,5,93,5,4,112,34.65,167,56,외,400000,0.369491525,0.572778828,0.942270353
홍성갑,8,8,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,3,0,외,3000,0,0,0
홍재호,87,76,9,16,20,6,0,1,0,0,3,0,8,0,0,12,2,4,24,3,17,4,내,3500,0.333333333,0.381578947,0.714912281
홍창기,25,18,0,1,3,2,0,0,0,1,0,0,7,0,0,8,0,0,8,0,3,0,외,3000,0.4,0.277777778,0.677777778
홍현빈,15,13,1,2,3,0,0,0,1,0,0,0,2,0,0,5,0,0,7,0,1,0,외,2900,0.333333333,0.230769231,0.564102564
황경태,13,13,0,9,3,2,0,0,0,1,0,0,0,0,0,3,0,1,6,0,2,0,내,2800,0.230769231,0.384615385,0.615384615
황윤호,62,57,4,11,9,1,0,0,2,2,2,0,0,0,3,6,2,3,26,5,18,5,내,3100,0.2,0.175438596,0.375438596
황재균,588,530,88,76,157,41,3,25,14,7,2,3,49,1,4,120,5,17,118,25.75,151,38,내,120000,0.358361775,0.526415094,0.884776869
황진수,26,24,1,6,4,1,0,1,1,0,0,0,2,0,0,5,0,3,3,0,5,0,내,6200,0.230769231,0.333333333,0.564102564
